"","route","date","rides"
"590","100","12/2016",600.52380952381
"591","100","01/2017",595.619047619048
"592","100","02/2017",653.15
"593","100","03/2017",702.391304347826
"594","100","04/2017",594.35
"595","100","05/2017",676.045454545455
"596","100","06/2017",587
"597","100","07/2017",519.8
"598","100","08/2017",535.695652173913
"599","100","09/2017",729.55
"600","100","10/2017",705.681818181818
"601","100","11/2017",614.333333333333
"602","100","12/2017",542.85
"603","1001","02/2004",1147.42857142857
"604","1001","03/2004",249
"605","1001","10/2004",11309.75
"606","1001","11/2005",3293.75
"607","1001","01/2006",5
"608","1001","02/2006",1007.75
"609","1001","03/2006",1019.93333333333
"610","1001","04/2006",985.833333333333
"611","1001","05/2006",1232.6
"612","1001","06/2006",1025.16666666667
"613","1001","07/2006",348
"614","1001","08/2006",32
"615","1001","09/2006",1345.4
"616","1001","10/2006",578.363636363636
"617","1001","11/2006",46
"618","1001","12/2006",76.75
"619","1001","04/2007",475
"620","1001","05/2007",580.583333333333
"621","1001","07/2007",4563.55555555556
"622","1001","08/2007",8790
"623","1001","09/2007",3387.3
"624","1001","10/2007",5269.11111111111
"625","1001","11/2007",11056.5
"626","1001","12/2007",9191
"627","1001","03/2008",10056.25
"628","1001","04/2008",10344.45
"629","1001","05/2008",12594.2
"630","1001","06/2008",9059.76470588235
"631","1001","07/2008",13316.0454545455
"632","1001","08/2008",7813.46666666667
"633","1001","09/2008",10226.6363636364
"634","1001","10/2008",8343.85714285714
"635","1001","11/2008",10814.1052631579
"636","1001","12/2008",20.25
"637","1001","01/2009",22.25
"638","1001","02/2009",225
"639","1001","03/2009",23
"640","1001","04/2009",171.333333333333
"641","1001","05/2009",11701.3333333333
"642","1001","06/2009",5182.15
"643","1001","07/2009",6784.88888888889
"644","1001","08/2009",10558.6875
"645","1001","09/2009",7027
"646","1001","10/2009",4955.5
"647","1001","11/2009",5834.33333333333
"648","1001","12/2009",4608.7
"649","1001","01/2010",114.5
"650","1001","02/2010",7.33333333333333
"651","1001","03/2010",3
"652","1001","04/2010",273.5
"653","1001","05/2010",394.75
"654","1001","06/2010",115
"655","1001","07/2010",53
"656","1001","09/2010",35
