"","Date","rides"
"698",2002-11-29,674516
"699",2002-11-30,522712
"700",2002-12-01,359946
"701",2002-12-02,963850
"702",2002-12-03,1001261
"703",2002-12-04,998162
"704",2002-12-05,999838
"705",2002-12-06,1012272
"706",2002-12-07,624065
"707",2002-12-08,393331
"708",2002-12-09,990319
"709",2002-12-10,1027480
"710",2002-12-11,1017572
"711",2002-12-12,1010964
"712",2002-12-13,1014960
"713",2002-12-14,648949
"714",2002-12-15,432302
"715",2002-12-16,998681
"716",2002-12-17,980791
"717",2002-12-18,935693
"718",2002-12-19,1014808
"719",2002-12-20,980788
"720",2002-12-21,610894
"721",2002-12-22,401455
"722",2002-12-23,825312
"723",2002-12-24,618543
"724",2002-12-25,236157
"725",2002-12-26,658664
"726",2002-12-27,741557
"727",2002-12-28,526368
"728",2002-12-29,378271
"729",2002-12-30,769446
"730",2002-12-31,790406
"731",2003-01-01,323835
"732",2003-01-02,753407
"733",2003-01-03,858926
"734",2003-01-04,569042
"735",2003-01-05,374672
"736",2003-01-06,978634
"737",2003-01-07,975572
"738",2003-01-08,1007227
"739",2003-01-09,977010
"740",2003-01-10,959360
"741",2003-01-11,504229
"742",2003-01-12,344570
"743",2003-01-13,969349
"744",2003-01-14,937057
"745",2003-01-15,925739
"746",2003-01-16,942937
"747",2003-01-17,970640
"748",2003-01-18,509741
"749",2003-01-19,325785
"750",2003-01-20,601545
"751",2003-01-21,950403
"752",2003-01-22,908554
"753",2003-01-23,819404
"754",2003-01-24,890008
"755",2003-01-25,545953
"756",2003-01-26,332692
"757",2003-01-27,918423
"758",2003-01-28,948114
"759",2003-01-29,967141
"760",2003-01-30,991562
"761",2003-01-31,926801
"762",2003-02-01,637520
"763",2003-02-02,412778
"764",2003-02-03,1036384
"765",2003-02-04,978106
"766",2003-02-05,959659
"767",2003-02-06,977716
"768",2003-02-07,950540
"769",2003-02-08,562012
"770",2003-02-09,366412
"771",2003-02-10,944517
"772",2003-02-11,924844
"773",2003-02-12,746988
"774",2003-02-13,974786
"775",2003-02-14,983178
"776",2003-02-15,541512
"777",2003-02-16,364517
"778",2003-02-17,707008
"779",2003-02-18,970726
"780",2003-02-19,979261
"781",2003-02-20,984261
"782",2003-02-21,1002082
"783",2003-02-22,521552
"784",2003-02-23,368800
"785",2003-02-24,905053
"786",2003-02-25,895549
"787",2003-02-26,935581
"788",2003-02-27,947482
"789",2003-02-28,1007810
"790",2003-03-01,607545
"791",2003-03-02,345234
"792",2003-03-03,817893
"793",2003-03-04,961124
"794",2003-03-05,865726
"795",2003-03-06,870638
"796",2003-03-07,977930
"797",2003-03-08,547840
"798",2003-03-09,334059
"799",2003-03-10,912809
"800",2003-03-11,968566
"801",2003-03-12,977254
"802",2003-03-13,974482
"803",2003-03-14,1005934
"804",2003-03-15,633057
"805",2003-03-16,423361
"806",2003-03-17,972070
"807",2003-03-18,959939
"808",2003-03-19,934760
"809",2003-03-20,931704
"810",2003-03-21,962995
"811",2003-03-22,574022
"812",2003-03-23,407444
"813",2003-03-24,957680
"814",2003-03-25,968822
"815",2003-03-26,963679
"816",2003-03-27,965618
"817",2003-03-28,813527
"818",2003-03-29,551756
"819",2003-03-30,370631
"820",2003-03-31,968343
"821",2003-04-01,1025184
"822",2003-04-02,1017190
"823",2003-04-03,991169
"824",2003-04-04,909424
"825",2003-04-05,590263
"826",2003-04-06,367040
"827",2003-04-07,870820
"828",2003-04-08,943911
"829",2003-04-09,983327
"830",2003-04-10,1002714
"831",2003-04-11,909813
"832",2003-04-12,601334
"833",2003-04-13,405684
"834",2003-04-14,900301
"835",2003-04-15,892154
"836",2003-04-16,833951
"837",2003-04-17,812743
"838",2003-04-18,767891
"839",2003-04-19,559765
"840",2003-04-20,365291
"841",2003-04-21,921875
"842",2003-04-22,960852
"843",2003-04-23,919434
"844",2003-04-24,956683
"845",2003-04-25,975419
"846",2003-04-26,584505
"847",2003-04-27,398935
"848",2003-04-28,957308
"849",2003-04-29,953784
"850",2003-04-30,823535
"851",2003-05-01,967865
"852",2003-05-02,1034099
"853",2003-05-03,641895
"854",2003-05-04,394285
